name;rating;genre;year;votes;director;writer;star;country;budget;gross;company;;
The Hills Have Eyes;R;Horror;2006;162000.0;Alexandre Aja;Wes Craven;Ted Levine;United States;15000000.0;70009308.0;Craven-Maddalena Films;;
The Fountain;PG-13;Drama;2006;232000.0;Darren Aronofsky;Darren Aronofsky;Hugh Jackman;Canada;35000000.0;16468343.0;Warner Bros.;;
X-Men: the Last Stand;PG-13;Action;2006;491000.0;Brett Ratner;Simon Kinberg;Patrick Stewart;United States;210000000.0;460435291.0;Twentieth Century Fox;;
Underworld: Evolution;R;Action;2006;193000.0;Len Wiseman;Danny McBride;Kate Beckinsale;United States;50000000.0;111476513.0;Screen Gems;;
Click;PG-13;Comedy;2006;313000.0;Frank Coraci;Steve Koren;Adam Sandler;United States;82500000.0;240685326.0;Columbia Pictures;;
The Holiday;PG-13;Comedy;2006;258000.0;Nancy Meyers;Nancy Meyers;Kate Winslet;United States;85000000.0;205850134.0;Columbia Pictures;;
Silent Hill;R;Horror;2006;217000.0;Christophe Gans;Roger Avary;Radha Mitchell;Canada;50000000.0;100605135.0;TriStar Pictures;;
Basic Instinct 2;R;Drama;2006;38000.0;Michael Caton-Jones;Joe Eszterhas;Sharon Stone;United Kingdom;70000000.0;38629478.0;Metro-Goldwyn-Mayer (MGM);;
The Black Dahlia;R;Crime;2006;72000.0;Brian De Palma;Josh Friedman;Josh Hartnett;United States;50000000.0;49332692.0;Universal Pictures;;
Perfume: The Story of a Murderer;R;Crime;2006;239000.0;Tom Tykwer;Andrew Birkin;Ben Whishaw;Germany;60000000.0;135039924.0;DreamWorks;;
Lucky Number Slevin;R;Crime;2006;303000.0;Paul McGuigan;Jason Smilovic;Josh Hartnett;United States;27000000.0;56308881.0;The Weinstein Company;;
Smokin' Aces;R;Action;2006;140000.0;Joe Carnahan;Joe Carnahan;Jeremy Piven;United Kingdom;17000000.0;57232879.0;Universal Pictures;;
Cashback;R;Comedy;2006;84000.0;Sean Ellis;Sean Ellis;Sean Biggerstaff;United Kingdom;;2294291.0;Left Turn Films;;
Deja Vu;PG-13;Action;2006;298000.0;Tony Scott;Bill Marsilii;Denzel Washington;United States;75000000.0;180557550.0;Touchstone Pictures;;
Grandma's Boy;R;Comedy;2006;79000.0;Nicholaus Goossen;Barry Wernick;Allen Covert;United States;;6566277.0;Twentieth Century Fox;;
RV;PG;Adventure;2006;57000.0;Barry Sonnenfeld;Geoff Rodkey;Robin Williams;United Kingdom;50000000.0;87528173.0;Columbia Pictures;;
Tenacious D in the Pick of Destiny;R;Adventure;2006;104000.0;Liam Lynch;Jack Black;Jack Black;United States;20000000.0;13939963.0;Red Hour Films;;
Black Book;R;Drama;2006;74000.0;Paul Verhoeven;Gerard Soeteman;Carice van Houten;Netherlands;21000000.0;26768563.0;Fu Works;;
Stick It;PG-13;Comedy;2006;27000.0;Jessica Bendinger;Jessica Bendinger;Missy Peregrym;Germany;;31976848.0;Kaltenbach Pictures;;
Step Up;PG-13;Crime;2006;113000.0;Anne Fletcher;Duane Adler;Channing Tatum;United States;12000000.0;114197742.0;Touchstone Pictures;;
Step Up;PG-13;Drama;2010;56000.0;Jon M. Chu;Amy Andelson;Sharni Vinson;United States;30000000.0;159291809.0;Summit Entertainment;;
The Host;R;Action;2006;112000.0;Bong Joon Ho;Bong Joon Ho;Kang-ho Song;South Korea;;89433436.0;Chungeorahm Film;;
The Host;PG-13;Action;2013;112000.0;Andrew Niccol;Andrew Niccol;Saoirse Ronan;United States;40000000.0;63365859.0;Chockstone Pictures;;
Stranger Than Fiction;PG-13;Comedy;2006;222000.0;Marc Forster;Zach Helm;Will Ferrell;United States;30000000.0;53653224.0;Columbia Pictures;;
Eragon;PG;Action;2006;123000.0;Stefen Fangmeier;Peter Buchman;Ed Speleers;United States;100000000.0;250425512.0;Fox 2000 Pictures;;
Dreamgirls;PG-13;Drama;2006;71000.0;Bill Condon;Tom Eyen;Beyonc��;United States;70000000.0;155430335.0;Dreamworks Pictures;;
A Good Year;PG-13;Comedy;2006;91000.0;Ridley Scott;Marc Klein;Russell Crowe;United States;35000000.0;42269923.0;Fox 2000 Pictures;;
Miami Vice;R;Action;2006;112000.0;Michael Mann;Michael Mann;Colin Farrell;Germany;135000000.0;163794509.0;Universal Pictures;;
Bug;R;Drama;2006;34000.0;William Friedkin;Tracy Letts;Ashley Judd;United States;4000000.0;8095658.0;Lions Gate Films;;
Notes on a Scandal;R;Crime;2006;76000.0;Richard Eyre;Patrick Marber;Cate Blanchett;United Kingdom;15000000.0;49814392.0;Fox Searchlight Pictures;;
Firewall;PG-13;Action;2006;57000.0;Richard Loncraine;Joe Forte;Harrison Ford;United States;50000000.0;82751189.0;Warner Bros.;;
Madea's Family Reunion;PG-13;Comedy;2006;11000.0;Tyler Perry;Tyler Perry;Tyler Perry;United States;6000000.0;63368939.0;Lions Gate Films;;
The Foot Fist Way;R;Comedy;2006;12000.0;Jody Hill;Ben Best;Danny McBride;United States;;245292.0;MTV Films;;
The Astronaut Farmer;PG;Adventure;2006;22000.0;Michael Polish;Mark Polish;Billy Bob Thornton;United States;13000000.0;11130889.0;Warner Bros.;;
Mini's First Time;R;Comedy;2006;8100.0;Nick Guthe;Nick Guthe;Alec Baldwin;United States;6000000.0;156318.0;Bold Films;;
Lonely Hearts;R;Comedy;1982;336.0;Paul Cox;Paul Cox;Wendy Hughes;Australia;;777087.0;Adam Packer Film Productions;;
Lonely Hearts;R;Biography;2006;20000.0;Todd Robinson;Todd Robinson;John Travolta;Germany;18000000.0;2520835.0;Millennium Films;;
A Guide to Recognizing Your Saints;R;Crime;2006;25000.0;Dito Montiel;Dito Montiel;Robert Downey Jr.;United States;;2035468.0;Belladonna Productions;;
Everyone's Hero;G;Animation;2006;8300.0;Colin Brady;Robert Kurtz;Jake T. Austin;Canada;35000000.0;16627188.0;Arc Productions;;
Severance;R;Comedy;2006;37000.0;Christopher Smith;James Moran;Danny Dyer;United Kingdom;;5515163.0;Qwerty Films;;
Kabhi Alvida Naa Kehna;Not Rated;Drama;2006;19000.0;Karan Johar;Karan Johar;Shah Rukh Khan;India;;25229168.0;Dharma Productions;;
Old Joy;Unrated;Drama;2006;7000.0;Kelly Reichardt;Jonathan Raymond;Daniel London;United States;300000.0;301047.0;Film Science;;
The Grudge 2;PG-13;Horror;2006;48000.0;Takashi Shimizu;Stephen Susco;Amber Tamblyn;United States;20000000.0;70711175.0;Columbia Pictures;;
For Your Consideration;PG-13;Comedy;2006;14000.0;Christopher Guest;Christopher Guest;Catherine O'Hara;United States;12000000.0;5925637.0;Shangri-La Entertainment;;
The Sentinel;PG-13;Action;2006;49000.0;Clark Johnson;George Nolfi;Michael Douglas;United States;60000000.0;78810595.0;Twentieth Century Fox;;
The Breed;R;Action;2006;13000.0;Nicholas Mastandrea;Robert Conte;Michelle Rodriguez;Germany;;1689984.0;Film Afrika Worldwide;;
Skinwalkers;R;Action;2006;13000.0;James Isaac;James DeMonaco;Jason Behr;Canada;;3269736.0;Lionsgate;;
Hoot;PG;Adventure;2006;8000.0;Wil Shriner;Wil Shriner;Logan Lerman;United States;15000000.0;8224998.0;Hoot Productions LLC;;
There Will Be Blood;R;Drama;2007;535000.0;Paul Thomas Anderson;Paul Thomas Anderson;Daniel Day-Lewis;United States;25000000.0;76182388.0;Paramount Vantage;;
No Country for Old Men;R;Crime;2007;886000.0;Ethan Coen;Joel Coen;Tommy Lee Jones;United States;25000000.0;171627166.0;Paramount Vantage;;
Stardust;PG-13;Adventure;2007;260000.0;Matthew Vaughn;Jane Goldman;Charlie Cox;United Kingdom;70000000.0;137515140.0;Paramount Pictures;;
Gone Baby Gone;R;Crime;2007;258000.0;Ben Affleck;Ben Affleck;Morgan Freeman;United States;19000000.0;34612443.0;Miramax;;
Disturbia;PG-13;Crime;2007;226000.0;D.J. Caruso;Christopher Landon;Shia LaBeouf;United States;20000000.0;118114220.0;Dreamworks Pictures;;
Zodiac;R;Crime;2007;486000.0;David Fincher;James Vanderbilt;Jake Gyllenhaal;United States;65000000.0;84785914.0;Paramount Pictures;;
Superbad;R;Comedy;2007;535000.0;Greg Mottola;Seth Rogen;Michael Cera;United States;20000000.0;170812526.0;Columbia Pictures;;
Transformers;PG-13;Action;2007;607000.0;Michael Bay;Roberto Orci;Shia LaBeouf;United States;150000000.0;709709780.0;Dreamworks Pictures;;
Harry Potter and the Order of the Phoenix;PG-13;Action;2007;527000.0;David Yates;Michael Goldenberg;Daniel Radcliffe;United Kingdom;150000000.0;942172396.0;Warner Bros.;;
Into the Wild;R;Adventure;2007;588000.0;Sean Penn;Sean Penn;Emile Hirsch;United States;15000000.0;56675895.0;Paramount Vantage;;
Atonement;R;Drama;2007;259000.0;Joe Wright;Ian McEwan;Keira Knightley;United Kingdom;30000000.0;131016624.0;Universal Pictures;;
American Gangster;R;Biography;2007;401000.0;Ridley Scott;Steven Zaillian;Denzel Washington;United States;100000000.0;269755430.0;Universal Pictures;;
Spider-Man 3;PG-13;Action;2007;513000.0;Sam Raimi;Sam Raimi;Tobey Maguire;United States;258000000.0;894983373.0;Columbia Pictures;;
Live Free or Die Hard;PG-13;Action;2007;394000.0;Len Wiseman;John Carlin;Bruce Willis;United States;110000000.0;388156011.0;Twentieth Century Fox;;
Hot Fuzz;R;Action;2007;476000.0;Edgar Wright;Edgar Wright;Simon Pegg;United Kingdom;;80743363.0;Universal Pictures;;
I Am Legend;PG-13;Action;2007;704000.0;Francis Lawrence;Mark Protosevich;Will Smith;United States;150000000.0;585410052.0;Warner Bros.;;
Sunshine;R;Drama;1999;13000.0;Istv��n Szab��;Istv��n Szab��;Ralph Fiennes;Germany;;7918035.0;Alliance Atlantis Communications;;
Sunshine;R;Sci-Fi;2007;238000.0;Danny Boyle;Alex Garland;Cillian Murphy;United Kingdom;;34806812.0;DNA Films;;
Juno;PG-13;Comedy;2007;499000.0;Jason Reitman;Diablo Cody;Elliot Page;United States;7500000.0;232372681.0;Fox Searchlight Pictures;;
28 Weeks Later;R;Horror;2007;263000.0;Juan Carlos Fresnadillo;Rowan Joffe;Jeremy Renner;United Kingdom;15000000.0;65048678.0;Fox Atomic;;
Hitman;R;Action;2007;163000.0;Xavier Gens;Skip Woods;Timothy Olyphant;France;24000000.0;101276318.0;Twentieth Century Fox;;
The Mist;R;Horror;2007;287000.0;Frank Darabont;Frank Darabont;Thomas Jane;United States;18000000.0;57470220.0;Dimension Films;;
Hairspray;PG;Comedy;1988;20000.0;John Waters;John Waters;Sonny Bono;United States;2000000.0;6673032.0;New Line Cinema;;
Hairspray;PG;Comedy;2007;122000.0;Adam Shankman;Leslie Dixon;John Travolta;United States;75000000.0;203553311.0;New Line Cinema;;
Knocked Up;R;Comedy;2007;356000.0;Judd Apatow;Judd Apatow;Seth Rogen;United States;30000000.0;219922417.0;Universal Pictures;;
Sweeney Todd: the Demon Barber of Fleet Street;R;Drama;2007;350000.0;Tim Burton;John Logan;Johnny Depp;United States;50000000.0;153383627.0;Dreamworks Pictures;;
Ghost Rider;PG-13;Action;2007;227000.0;Mark Steven Johnson;Mark Steven Johnson;Nicolas Cage;United States;110000000.0;228738393.0;Columbia Pictures;;
Hot Rod;PG-13;Comedy;2007;80000.0;Akiva Schaffer;Pam Brady;Andy Samberg;United States;;14353654.0;Paramount Pictures;;
The Darjeeling Limited;R;Adventure;2007;186000.0;Wes Anderson;Wes Anderson;Owen Wilson;United States;16000000.0;35310019.0;Fox Searchlight Pictures;;
Bridge to Terabithia;PG;Drama;2007;147000.0;Gabor Csupo;Jeff Stockwell;Josh Hutcherson;United States;17000000.0;137587063.0;Walden Media;;
The Nanny Diaries;PG-13;Comedy;2007;57000.0;Shari Springer Berman;Emma McLaughlin;Scarlett Johansson;United States;20000000.0;47817020.0;The Weinstein Company;;
Funny Games;R;Crime;2007;93000.0;Michael Haneke;Michael Haneke;Naomi Watts;United States;15000000.0;7938872.0;Celluloid Dreams;;
Halloween;R;Horror;2007;111000.0;Rob Zombie;Rob Zombie;Scout Taylor-Compton;United States;15000000.0;80460948.0;Dimension Films;;
Halloween;R;Crime;2018;126000.0;David Gordon Green;John Carpenter;Jamie Lee Curtis;United States;10000000.0;255614941.0;Blumhouse Productions;;
Eastern Promises;R;Action;2007;232000.0;David Cronenberg;Steven Knight;Naomi Watts;United Kingdom;;56107312.0;Kudos Film and Television;;
The Bourne Ultimatum;PG-13;Action;2007;612000.0;Paul Greengrass;Tony Gilroy;Matt Damon;United States;110000000.0;444100035.0;Universal Pictures;;
Fracture;R;Crime;2007;192000.0;Gregory Hoblit;Daniel Pyne;Anthony Hopkins;United States;;92011561.0;New Line Cinema;;
Beowulf;PG-13;Animation;2007;163000.0;Robert Zemeckis;Neil Gaiman;Ray Winstone;United States;150000000.0;196393745.0;Paramount Pictures;;
Next;PG-13;Action;2007;152000.0;Lee Tamahori;Gary Goldman;Nicolas Cage;United States;70000000.0;77621983.0;Paramount Pictures;;
3:10 to Yuma;R;Action;2007;295000.0;James Mangold;Halsted Welles;Russell Crowe;United States;55000000.0;70016220.0;Lionsgate;;
Across the Universe;PG-13;Drama;2007;107000.0;Julie Taymor;Dick Clement;Evan Rachel Wood;United States;45000000.0;29625761.0;Revolution Studios;;
Ocean's Thirteen;PG-13;Crime;2007;328000.0;Steven Soderbergh;Brian Koppelman;George Clooney;United States;85000000.0;311312624.0;Warner Bros.;;
Blades of Glory;PG-13;Comedy;2007;161000.0;Josh Gordon;Jeff Cox;Will Ferrell;United States;61000000.0;145710347.0;Dreamworks Pictures;;
Surf's Up;PG;Animation;2007;72000.0;Ash Brannon;Don Rhymer;Shia LaBeouf;United States;100000000.0;152005713.0;Columbia Pictures;;
Resident Evil: Extinction;R;Action;2007;187000.0;Russell Mulcahy;Paul W.S. Anderson;Milla Jovovich;France;45000000.0;147717833.0;Screen Gems;;
30 Days of Night;R;Action;2007;168000.0;David Slade;Steve Niles;Josh Hartnett;United States;30000000.0;75513170.0;Columbia Pictures;;
Awake;R;Crime;2007;73000.0;Joby Harold;Joby Harold;Hayden Christensen;United States;8600000.0;32730062.0;The Weinstein Company;;
Dead Silence;R;Horror;2007;89000.0;James Wan;Leigh Whannell;Ryan Kwanten;United States;20000000.0;22382047.0;Universal Pictures;;
Bee Movie;PG;Animation;2007;148000.0;Simon J. Smith;Jerry Seinfeld;Jerry Seinfeld;United States;150000000.0;293514336.0;DreamWorks Animation;;
The Heartbreak Kid;R;Comedy;2007;88000.0;Bobby Farrelly;Scot Armstrong;Ben Stiller;United States;60000000.0;128453183.0;Dreamworks Pictures;;
Aliens vs. Predator: Requiem;R;Action;2007;118000.0;Colin Strause;Shane Salerno;Reiko Aylesworth;United States;40000000.0;130290885.0;Twentieth Century Fox;;
1408;PG-13;Fantasy;2007;260000.0;Mikael H��fstr��m;Matt Greenberg;John Cusack;United States;25000000.0;132963417.0;Dimension Films;;
The Kingdom;R;Action;2007;121000.0;Peter Berg;Matthew Michael Carnahan;Jamie Foxx;United States;70000000.0;87019158.0;Universal Pictures;;
Good Luck Chuck;R;Comedy;2007;87000.0;Mark Helfrich;Josh Stolberg;Dane Cook;United States;25000000.0;59768495.0;Lionsgate;;
Hostel: Part II;R;Horror;2007;87000.0;Eli Roth;Eli Roth;Lauren German;United States;10200000.0;35728183.0;Lionsgate;;
The Golden Compass;PG-13;Adventure;2007;182000.0;Chris Weitz;Chris Weitz;Nicole Kidman;United Kingdom;180000000.0;372234864.0;New Line Cinema;;
Rush Hour 3;PG-13;Action;2007;157000.0;Brett Ratner;Jeff Nathanson;Jackie Chan;United States;140000000.0;258097122.0;New Line Cinema;;
The Babysitters;R;Drama;2007;11000.0;David Ross;David Ross;Lauren Birkell;United States;;44852.0;Forensic Films;;
Timecrimes;R;Horror;2007;60000.0;Nacho Vigalondo;Nacho Vigalondo;Karra Elejalde;Spain;2600000.0;553198.0;Karbo Vantas Entertainment;;
Meet the Robinsons;G;Animation;2007;91000.0;Stephen J. Anderson;Jon Bernstein;Daniel Hansen;United States;150000000.0;169333034.0;Walt Disney Animation Studios;;
Michael Clayton;R;Crime;2007;159000.0;Tony Gilroy;Tony Gilroy;George Clooney;United States;25000000.0;92991835.0;Samuels Media;;
The Bucket List;PG-13;Adventure;2007;235000.0;Rob Reiner;Justin Zackham;Jack Nicholson;United States;45000000.0;175372502.0;Warner Bros.;;
Lust;0.7329545454545454;NC-17;Drama;October 26, 2007 (United States);38000.0;Ang Lee;Eileen Chang;Tony Chiu-Wai Leung;Taiwan;15000000.0;67091915.0;157.0;
Charlie Wilson's War;R;Biography;2007;113000.0;Mike Nichols;Aaron Sorkin;Tom Hanks;United States;75000000.0;119483446.0;Universal Pictures;;
Paranormal Activity;R;Horror;2007;225000.0;Oren Peli;Oren Peli;Katie Featherston;United States;15000.0;193355800.0;Solana Films;;
Freedom Writers;PG-13;Biography;2007;72000.0;Richard LaGravenese;Richard LaGravenese;Hilary Swank;Germany;21000000.0;43095175.0;Paramount Pictures;;
Before the Devil Knows You're Dead;R;Crime;2007;99000.0;Sidney Lumet;Kelly Masterson;Philip Seymour Hoffman;United States;18000000.0;25038466.0;Capitol Films;;
In the Valley of Elah;R;Crime;2007;70000.0;Paul Haggis;Paul Haggis;Tommy Lee Jones;United States;;29541790.0;Warner Independent Pictures (WIP);;
P.S. I Love You;PG-13;Comedy;2007;203000.0;Richard LaGravenese;Richard LaGravenese;Hilary Swank;United States;30000000.0;156835339.0;Alcon Entertainment;;
National Treasure: Book of Secrets;PG;Action;2007;223000.0;Jon Turteltaub;Marianne Wibberley;Nicolas Cage;United States;130000000.0;459242249.0;Walt Disney Pictures;;
Lars and the Real Girl;PG-13;Comedy;2007;141000.0;Craig Gillespie;Nancy Oliver;Ryan Gosling;United States;12000000.0;11293663.0;Metro-Goldwyn-Mayer (MGM);;
The Orphanage;R;Drama;2007;150000.0;J.A. Bayona;Sergio G. S��nchez;Bel��n Rueda;Spain;;78638987.0;MEDIA Programme of the European Union;;
Hannibal Rising;R;Action;2007;106000.0;Peter Webber;Thomas Harris;Gaspard Ulliel;Czech Republic;50000000.0;82169884.0;Young Hannibal Productions;;
Saw IV;R;Crime;2007;144000.0;Darren Lynn Bousman;Patrick Melton;Tobin Bell;Canada;10000000.0;139352633.0;Twisted Pictures;;
Premonition;PG-13;Drama;2007;74000.0;Mennan Yapo;Bill Kelly;Sandra Bullock;United States;20000000.0;84297309.0;TriStar Pictures;;
The Simpsons Movie;PG-13;Animation;2007;314000.0;David Silverman;James L. Brooks;Dan Castellaneta;United States;75000000.0;536414293.0;Twentieth Century Fox;;
Teeth;R;Action;2007;42000.0;Mitchell Lichtenstein;Mitchell Lichtenstein;Jess Weixler;United States;;2340110.0;Pierpoline Films;;
Death at a Funeral;R;Comedy;2007;111000.0;Frank Oz;Dean Craig;Matthew Macfadyen;United States;9000000.0;46789413.0;Sidney Kimmel Entertainment;;
Death at a Funeral;R;Comedy;2010;48000.0;Neil LaBute;Dean Craig;Chris Rock;United States;21000000.0;49050886.0;Screen Gems;;
Wild Hogs;PG-13;Action;2007;115000.0;Walt Becker;Brad Copeland;Tim Allen;United States;;253625427.0;Touchstone Pictures;;
Mr. Brooks;R;Crime;2007;146000.0;Bruce A. Evans;Bruce A. Evans;Kevin Costner;United States;20000000.0;48443734.0;Metro-Goldwyn-Mayer (MGM);;
Mr. Bean's Holiday;G;Comedy;2007;119000.0;Steve Bendelack;Rowan Atkinson;Rowan Atkinson;United Kingdom;25000000.0;232225908.0;Universal Pictures;;
Burn After Reading;R;Comedy;2008;317000.0;Ethan Coen;Joel Coen;Brad Pitt;United States;37000000.0;163728902.0;Focus Features;;
Forgetting Sarah Marshall;R;Comedy;2008;271000.0;Nicholas Stoller;Jason Segel;Kristen Bell;United States;30000000.0;105833257.0;Universal Pictures;;
Seven Pounds;PG-13;Drama;2008;291000.0;Gabriele Muccino;Grant Nieporte;Will Smith;United States;55000000.0;169748929.0;Columbia Pictures;;
In Bruges;R;Comedy;2008;398000.0;Martin McDonagh;Martin McDonagh;Colin Farrell;United Kingdom;15000000.0;34085749.0;Focus Features;;
Sex and the City;R;Comedy;2008;117000.0;Michael Patrick King;Michael Patrick King;Sarah Jessica Parker;United States;65000000.0;418765519.0;New Line Cinema;;
Slumdog Millionaire;R;Drama;2008;812000.0;Danny Boyle;Simon Beaufoy;Dev Patel;United Kingdom;15000000.0;378410542.0;Celador Films;;
RocknRolla;R;Action;2008;241000.0;Guy Ritchie;Guy Ritchie;Gerard Butler;United Kingdom;18000000.0;25740863.0;Warner Bros.;;
Gran Torino;R;Drama;2008;734000.0;Clint Eastwood;Nick Schenk;Clint Eastwood;Germany;33000000.0;269958228.0;Matten Productions;;
The Duchess;PG-13;Biography;2008;80000.0;Saul Dibb;Jeffrey Hatcher;Keira Knightley;United Kingdom;;43343384.0;Paramount Vantage;;
The Reader;R;Drama;2008;234000.0;Stephen Daldry;David Hare;Kate Winslet;Germany;32000000.0;108902486.0;The Weinstein Company;;
The Hurt Locker;R;Drama;2008;430000.0;Kathryn Bigelow;Mark Boal;Jeremy Renner;United States;15000000.0;49259766.0;Voltage Pictures;;
Rambo;R;Action;2008;222000.0;Sylvester Stallone;Art Monterastelli;Sylvester Stallone;Germany;50000000.0;113244290.0;Lionsgate;;
The Happening;R;Drama;2008;199000.0;M. Night Shyamalan;M. Night Shyamalan;Mark Wahlberg;United States;48000000.0;163403799.0;Twentieth Century Fox;;
The Wrestler;R;Drama;2008;294000.0;Darren Aronofsky;Robert Siegel;Mickey Rourke;United States;6000000.0;44734660.0;Wild Bunch;;
Cloverfield;PG-13;Action;2008;379000.0;Matt Reeves;Drew Goddard;Mike Vogel;United States;25000000.0;172394180.0;Paramount Pictures;;
Changeling;R;Biography;2008;244000.0;Clint Eastwood;J. Michael Straczynski;Angelina Jolie;United States;55000000.0;113398237.0;Imagine Entertainment;;
Eagle Eye;PG-13;Action;2008;180000.0;D.J. Caruso;John Glenn;Shia LaBeouf;United States;80000000.0;178767383.0;Dreamworks Pictures;;
The Ruins;R;Adventure;2008;72000.0;Carter Smith;Scott B. Smith;Shawn Ashmore;United States;8000000.0;22818256.0;Dreamworks Pictures;;
The Other Boleyn Girl;PG-13;Biography;2008;107000.0;Justin Chadwick;Peter Morgan;Natalie Portman;United Kingdom;35000000.0;78201830.0;Columbia Pictures;;
21;PG-13;Crime;2008;235000.0;Robert Luketic;Peter Steinfeld;Jim Sturgess;United States;35000000.0;159808370.0;Columbia Pictures;;
Never Back Down;PG-13;Action;2008;98000.0;Jeff Wadlow;Chris Hauty;Sean Faris;United States;20000000.0;41627431.0;Summit Entertainment;;
The Mummy: Tomb of the Dragon Emperor;PG-13;Action;2008;154000.0;Rob Cohen;Alfred Gough;Brendan Fraser;United States;145000000.0;403449830.0;Universal Pictures;;
Hancock;PG-13;Action;2008;454000.0;Peter Berg;Vy Vincent Ngo;Will Smith;United States;150000000.0;629443428.0;Columbia Pictures;;
Journey to the Center of the Earth;PG;Action;2008;116000.0;Eric Brevig;Michael D. Weiss;Brendan Fraser;United States;60000000.0;244232688.0;New Line Cinema;;
Bolt;PG;Animation;2008;196000.0;Byron Howard;Dan Fogelman;John Travolta;United States;150000000.0;309979994.0;Walt Disney Animation Studios;;
Sex Drive;R;Comedy;2008;85000.0;Sean Anders;Sean Anders;Josh Zuckerman;United States;19000000.0;18755936.0;Summit Entertainment;;
Death Race;R;Action;2008;201000.0;Paul W.S. Anderson;Paul W.S. Anderson;Jason Statham;United States;45000000.0;76014335.0;Universal Pictures;;
Pineapple Express;R;Action;2008;322000.0;David Gordon Green;Seth Rogen;Seth Rogen;United States;27000000.0;101624843.0;Columbia Pictures;;
Valkyrie;PG-13;Drama;2008;233000.0;Bryan Singer;Christopher McQuarrie;Tom Cruise;United States;75000000.0;201545517.0;Metro-Goldwyn-Mayer (MGM);;
27 Dresses;PG-13;Comedy;2008;157000.0;Anne Fletcher;Aline Brosh McKenna;Katherine Heigl;United States;30000000.0;162655351.0;Fox 2000 Pictures;;
Let the Right One In;R;Crime;2008;208000.0;Tomas Alfredson;John Ajvide Lindqvist;K��re Hedebrant;Sweden;4000000.0;11227336.0;EFTI;;
Role Models;R;Comedy;2008;223000.0;David Wain;Timothy Dowling;Paul Rudd;Germany;28000000.0;92649419.0;Universal Pictures;;
Defiance;R;Action;2008;141000.0;Edward Zwick;Clayton Frohman;Daniel Craig;United States;32000000.0;51262751.0;Paramount Vantage;;
Definitely;0.8741258741258742;PG-13;Comedy;February 14, 2008 (United States);159000.0;Adam Brooks;Adam Brooks;Ryan Reynolds;United Kingdom;;55990299.0;112.0;
The Forbidden Kingdom;PG-13;Action;2008;103000.0;Rob Minkoff;John Fusco;Jackie Chan;United States;55000000.0;128792411.0;Casey Silver Productions;;
Bronson;R;Action;2008;123000.0;Nicolas Winding Refn;Brock Norman Brock;Tom Hardy;United Kingdom;230000.0;2260712.0;Vertigo Films;;
Australia;PG-13;Adventure;2008;121000.0;Baz Luhrmann;Stuart Beattie;Nicole Kidman;United Kingdom;130000000.0;211787511.0;Twentieth Century Fox;;
Yes Man;PG-13;Comedy;2008;343000.0;Peyton Reed;Nicholas Stoller;Jim Carrey;United States;70000000.0;223241637.0;Warner Bros.;;
Body of Lies;R;Action;2008;218000.0;Ridley Scott;William Monahan;Leonardo DiCaprio;United States;70000000.0;115900897.0;Warner Bros.;;
Disaster Movie;PG-13;Comedy;2008;88000.0;Jason Friedberg;Jason Friedberg;Carmen Electra;United States;20000000.0;34816824.0;Lionsgate;;
Superhero Movie;PG-13;Action;2008;65000.0;Craig Mazin;Craig Mazin;Drake Bell;United States;35000000.0;71571300.0;Dimension Films;;
Jumper;PG-13;Action;2008;292000.0;Doug Liman;David S. Goyer;Hayden Christensen;United States;85000000.0;225132113.0;Twentieth Century Fox;;
The Bank Job;R;Crime;2008;176000.0;Roger Donaldson;Dick Clement;Jason Statham;United Kingdom;20000000.0;64828421.0;Mosaic;;
Street Kings;R;Action;2008;109000.0;David Ayer;James Ellroy;Keanu Reeves;United States;20000000.0;66476363.0;Fox Searchlight Pictures;;
Get Smart;PG-13;Action;2008;208000.0;Peter Segal;Tom J. Astle;Steve Carell;United States;80000000.0;230685453.0;Warner Bros.;;
Punisher: War Zone;R;Action;2008;61000.0;Lexi Alexander;Nick Santora;Ray Stevenson;United States;35000000.0;10161493.0;Lionsgate;;
You Don't Mess with the Zohan;PG-13;Comedy;2008;194000.0;Dennis Dugan;Adam Sandler;Adam Sandler;United States;90000000.0;204313400.0;Columbia Pictures;;
Hellboy II: the Golden Army;PG-13;Action;2008;260000.0;Guillermo del Toro;Guillermo del Toro;Ron Perlman;United States;85000000.0;168319243.0;Universal Pictures;;
Synecdoche;0.6271186440677966;R;Drama;February 5, 2009 (Netherlands);86000.0;Charlie Kaufman;Charlie Kaufman;Philip Seymour Hoffman;United States;20000000.0;4658401.0;124.0;
Marley & Me;PG;Comedy;2008;150000.0;David Frankel;Scott Frank;Owen Wilson;United States;60000000.0;255743093.0;Fox 2000 Pictures;;
Fool's Gold;PG-13;Action;2008;76000.0;Andy Tennant;John Claflin;Matthew McConaughey;United States;70000000.0;111231041.0;Warner Bros.;;
The Secret Life of Bees;PG-13;Drama;2008;25000.0;Gina Prince-Bythewood;Gina Prince-Bythewood;Dakota Fanning;United States;11000000.0;39952437.0;Fox Searchlight Pictures;;
Nick and Norah's Infinite Playlist;PG-13;Comedy;2008;90000.0;Peter Sollett;Lorene Scafaria;Michael Cera;United States;10000000.0;33556631.0;Screen Gems;;
Doomsday;R;Action;2008;75000.0;Neil Marshall;Neil Marshall;Rhona Mitra;United Kingdom;30000000.0;22472631.0;Rogue Pictures;;
