name;rating;genre;year;votes;director;writer;star;country;budget;gross;company;;
The Pacifier;PG;Action;2005;90000.0;Adam Shankman;Thomas Lennon;Vin Diesel;Canada;56000000.0;198636868.0;Walt Disney Pictures;;
A History of Violence;R;Drama;2005;228000.0;David Cronenberg;John Wagner;Viggo Mortensen;Canada;32000000.0;61385065.0;New Line Cinema;;
The Devil's Rejects;R;Horror;2005;95000.0;Rob Zombie;Rob Zombie;Sid Haig;United States;7000000.0;20901859.0;Lions Gate Films;;
Hitch;PG-13;Comedy;2005;301000.0;Andy Tennant;Kevin Bisch;Will Smith;United States;70000000.0;371594210.0;Columbia Pictures;;
Mirrormask;PG;Adventure;2005;22000.0;Dave McKean;Neil Gaiman;Stephanie Leonidas;United Kingdom;4000000.0;866999.0;Destination Films;;
Rent;PG-13;Drama;2005;49000.0;Chris Columbus;Stephen Chbosky;Taye Diggs;United States;40000000.0;31670620.0;Rent Productions LLC;;
Robots;PG;Animation;2005;137000.0;Chris Wedge;Ron Mita;Ewan McGregor;United States;75000000.0;262511490.0;Twentieth Century Fox Animation;;
Jarhead;R;Action;2005;179000.0;Sam Mendes;William Broyles Jr.;Jake Gyllenhaal;United States;72000000.0;97076152.0;Universal Pictures;;
Into the Blue;PG-13;Action;2005;74000.0;John Stockwell;Matt Johnson;Paul Walker;United States;50000000.0;46117696.0;Columbia Pictures;;
Saw II;R;Horror;2005;239000.0;Darren Lynn Bousman;Leigh Whannell;Donnie Wahlberg;Canada;4000000.0;147748505.0;Twisted Pictures;;
Revolver;R;Action;2005;92000.0;Guy Ritchie;Luc Besson;Jason Statham;France;;7155807.0;EuropaCorp;;
Coach Carter;PG-13;Biography;2005;133000.0;Thomas Carter;Mark Schwahn;Samuel L. Jackson;United States;30000000.0;76669554.0;Coach Carter;;
Dark Water;PG-13;Drama;2005;60000.0;Walter Salles;K��ji Suzuki;Jennifer Connelly;United States;30000000.0;68357079.0;Touchstone Pictures;;
Lord of War;R;Action;2005;300000.0;Andrew Niccol;Andrew Niccol;Nicolas Cage;France;50000000.0;72617068.0;Entertainment Manufacturing Company;;
Zathura: A Space Adventure;PG;Action;2005;97000.0;Jon Favreau;Chris Van Allsburg;Josh Hutcherson;United States;65000000.0;65079104.0;Columbia Pictures;;
The Quiet;R;Crime;2005;16000.0;Jamie Babbit;Abdi Nazemian;Camilla Belle;United States;900000.0;381420.0;Andrea Sperling Productions;;
The Amityville Horror;R;Horror;2005;107000.0;Andrew Douglas;Scott Kosar;Ryan Reynolds;United States;19000000.0;107516369.0;Metro-Goldwyn-Mayer (MGM);;
Be Cool;PG-13;Comedy;2005;68000.0;F. Gary Gray;Elmore Leonard;John Travolta;United States;53000000.0;95763716.0;Metro-Goldwyn-Mayer (MGM);;
Just Friends;PG-13;Comedy;2005;109000.0;Roger Kumble;Adam 'Tex' Davis;Ryan Reynolds;Germany;;51024243.0;Inferno Distribution;;
Yours;1.0;PG;Comedy;November 23, 2005 (United States);27000.0;Raja Gosnell;Ron Burch;Dennis Quaid;United States;45000000.0;72662923.0;88.0;
Cinderella Man;PG-13;Biography;2005;179000.0;Ron Howard;Cliff Hollingsworth;Russell Crowe;United States;88000000.0;108539911.0;Universal Pictures;;
The Brothers Grimm;PG-13;Action;2005;118000.0;Terry Gilliam;Ehren Kruger;Matt Damon;United States;88000000.0;105316267.0;Dimension Films;;
Corpse Bride;PG;Animation;2005;251000.0;Tim Burton;Tim Burton;Johnny Depp;United States;40000000.0;118090836.0;Warner Bros.;;
Transporter 2;R;Action;2005;195000.0;Louis Leterrier;Luc Besson;Jason Statham;France;32000000.0;89083229.0;EuropaCorp;;
Two for the Money;R;Crime;2005;44000.0;D.J. Caruso;Dan Gilroy;Matthew McConaughey;United States;35000000.0;30526509.0;Universal Pictures;;
The New World;PG-13;Biography;2005;84000.0;Terrence Malick;Terrence Malick;Colin Farrell;United States;30000000.0;49334775.0;New Line Cinema;;
Brick;R;Action;2005;103000.0;Rian Johnson;Rian Johnson;Joseph Gordon-Levitt;United States;475000.0;3947579.0;Bergman Lustig Productions;;
Wolf Creek;R;Horror;2005;69000.0;Greg McLean;Greg McLean;Nathan Phillips;Australia;1000000.0;30894796.0;Australian Film Finance Corporation (AFFC);;
Breakfast on Pluto;R;Comedy;2005;21000.0;Neil Jordan;Neil Jordan;Cillian Murphy;Ireland;;3942254.0;Path�� Pictures International;;
